,id,user_name,user_followers,user_verified,date,text,retweets,favorites,is_retweet
0,1452515332497629189,concernedbrother81,26,False,2021-07-24 06:00:16,"@JCrossover 1x NBA Scoring Leader
7x All-NBA
10x NBA All-Star 
10th Leading Scorer In NBA History
4x Olympic medali… https://t.co/yLM8hKcajx",7,49,False
0,1452492615757144071,scroll.in,428056,True,2021-07-24 04:30:00,"#DenmarkOpenSuper1000 #Badminton

#Watch: Viktor Axelsen plays an epic shot on his way to defeating Kento Momota in… https://t.co/Wq7fx1D7sZ",2,4,False
0,1452491178889252867,Sonal 🇮🇳,101,False,2021-07-24 04:24:17,@suryakane Absolutely this is not a game anymore...watch the Olympics and para Olympic players who played well not… https://t.co/upL2hJhuAC,1,4,False
0,1452488645391396870,Sam Quinn,6127,True,2021-07-24 04:14:13,"A lot went right in this game...

- Best game for Russ as a Laker.
- Anthony Davis looked like a DPOY.
- Olympic Me… https://t.co/wQAXdcLxUq",23,279,False
0,1452476623257849858,Sam Quinn,6127,True,2021-07-24 03:26:27,"The true hooper accounts are going to be insufferable tonight, but if the Lakers win this game, Carmelo Anthony is… https://t.co/eHaXPekNO2",2,14,False
0,1452460275840471043,NBC Olympics,1102848,True,2021-07-24 02:21:29,"We're gearing up for a Once in a Lifetime event by mixing Olympians and football all season long!

Olympic champion… https://t.co/cTmAvW3BHZ",26,138,False
0,1452457464511832071,Sunday Night Football on NBC,936629,True,2021-07-24 02:10:19,"Our Once in a Lifetime celebration continues!

Olympic gold medalist Chelsea Gray (@cgray209) and Olympian Bryce Be… https://t.co/8fpOEeBxsM",14,86,False
0,1452453878474096646,Andrew Moses,1400,False,2021-07-24 01:56:04,"Carli Lloyd plays her final game with the USWNT on Tuesday.

She’s an all-time great:

- 315 games (2nd to… https://t.co/eb0G7IZAPH",1,4,False
0,1452449371937669123,⚽️ Thirsty Whale 🐳 Napier City Rovers,1526,False,2021-07-24 01:38:10,"🏆𝘾𝙝𝙖𝙢𝙥𝙞𝙤𝙣𝙨 |
Congratulations to North Wellington FC on winning the Lotto Napier U19 Tournament 2021!
They came back… https://t.co/54hQ1hnAN3",5,29,False
0,1452435050579079169,Fake Paul Scholes,23,False,2021-07-24 00:41:15,@BovadaOfficial The refs in the ‘72 Olympic basketball game wanted the USSR to win and helped them to do so,0,11,False
0,1452429611971665924,Alexandre Gangué-Ruzic,2129,False,2021-07-24 00:19:38,"It was a homecoming to remember for the #CanWNT/#CanXNT🥇🍁 in Ottawa yesterday

In my latest, I look at what stood o… https://t.co/Ya1nKATGMc",3,19,False
0,1452399309106790404,The Niche Cache,2103,False,2021-07-25 22:19:14,"Another mud result but results aren't what we should be looking at quite yet, not half strength against the Olympic… https://t.co/I4A2olBl3N",1,4,False
0,1452389942013857799,✨yellow angel yaki ✨,153,False,2021-07-25 21:42:00,"""I'm taking out the ambition of the Korea game""? hahahahahahahahaha you are crazy. Ebrar probably just accepted the… https://t.co/liBtPTEdhT",10,22,False
0,1452364695143211008,Reattack🦍,548,False,2021-07-25 20:01:41,@EricMullen01 @magicman_psu Imagine telling the Olympic champ about the game…,0,29,False
0,1452362614890287108,Trouble,200,False,2021-07-25 19:53:25,"TeamTrouble member @ellencurren describing the Trouble mission to Olympian rower, IOC member and game changer… https://t.co/iTYDDhIEbl",1,7,False
0,1452356181238947845,Ed Morrissey,62035,True,2021-07-25 19:27:51,@CShadegg Troll game level: Olympic. 😄,0,66,False
0,1452348876644552716,Nathan Bewcyk,386,False,2021-07-25 18:58:50,Awesome @grandslamcurl Masters women's (MB) Final! Great game between @TeamJJonesCurl and @TeamTracyFleury ! Gotta… https://t.co/sb9hslqYcd,1,19,False
0,1452347327025397761,Jennifer Drover,94,False,2021-07-25 18:52:40,@Devin_Heroux @grandslamcurl That was an amazing game. I can't wait for the Olympic Trials!,0,5,False
0,1452342951221161984,DualSenseDude™,201,False,2021-07-25 18:35:17,"@sGarvett @KeyserS56435525 @MldGhost @DaXboxUniverse Lol no way. Who has an official Olympic game? Grand Torismo, w… https://t.co/xX8KVKgOEa",0,5,False
